Currency,Date,Description,Amount,Fees,Price,Pair,Other Currency,Other Amount
QNT,2020-04-03 12:28:10.361 ,Order fca2ff7581dea1ef,1.8662319,0.00187,4.65179,QNT/EUR,EUR,-8.68
QNT,2020-04-03 12:13:58.397 ,Order 16d79268e20088aa,4.995,0.00500,4.76140,QNT/EUR,EUR,-23.78
QNT,2020-04-03 10:33:10.066 ,Order 376aad6b55416d44,4.995,0.00500,4.59580,QNT/EUR,EUR,-22.96
QNT,2020-04-02 20:32:01.478 ,Order d59d59b92d4bb81d,12.981005999999999,0.0130,4.41196,QNT/EUR,EUR,-57.27
QNT,2020-04-02 20:32:01.460 ,Order d59d59b92d4bb81d,2.0039939999999996,0.00201,4.39033,QNT/EUR,EUR,-8.80
QNT,2020-04-02 19:45:37.285 ,Order f9c7f1f8998f917d,25.8741,0.0259,4.31676,QNT/EUR,EUR,-111.69
QNT,2020-04-02 19:16:11.385 ,Order 1ba6f8b0416e9e2e,1.9953,0.00,4.29008,QNT/EUR,EUR,-8.56
QNT,2020-04-02 19:08:41.544 ,Order 547d83b1f7305ac8,1.1604383999999999,0.00116,4.30441,QNT/EUR,EUR,-5.00
QNT,2020-04-02 18:27:10.912 ,Order e961feff00153eb1,3.6963000000000004,0.00370,4.43649,QNT/EUR,EUR,-16.40
QNT,2020-04-02 18:11:16.739 ,Order 08999eec76fe1399,2.2965012,0.00230,4.39360,QNT/EUR,EUR,-10.09
QNT,2020-04-02 18:00:25.476 ,Order 048b8038d5dfe907,28.947024,0.0290,4.47846,QNT/EUR,EUR,-129.64
QNT,2020-04-02 18:00:25.459 ,Order 048b8038d5dfe907,21.102876,0.0211,4.46734,QNT/EUR,EUR,-94.27
QNT,2020-04-02 17:50:29.334 ,Order ef968a68c7d62bd5,11.988499500000001,0.0120,4.56881,QNT/EUR,EUR,-54.77
QNT,2020-04-02 17:50:29.317 ,Order ef968a68c7d62bd5,15.769215,0.0158,4.55749,QNT/EUR,EUR,-71.87
QNT,2020-04-02 17:50:29.301 ,Order ef968a68c7d62bd5,2.2122855,0.00221,4.52021,QNT/EUR,EUR,-10.00
QNT,2020-04-02 17:42:35.092 ,Order 9213257d7ae0b819,4.995,0.00500,4.51980,QNT/EUR,EUR,-22.58
QNT,2020-04-02 17:38:27.805 ,Order 16c43c90a9ef4c41,14.985,0.0150,4.55613,QNT/EUR,EUR,-68.27
QNT,2020-04-02 17:36:01.514 ,Order 50f7755c99aeb764,6.1938,0.00620,4.54532,QNT/EUR,EUR,-28.15
QNT,2020-04-02 17:33:43.001 ,Order 21660b2c8f8ed999,2.6609364,0.00266,4.62907,QNT/EUR,EUR,-12.32
QNT,2020-04-02 15:22:35.270 ,Order d6d757a8358d7693,1.1926062,0.00119,4.18831,QNT/EUR,EUR,-5.00
QNT,2020-04-02 15:21:36.560 ,Order 4ae9800d83e6c0cd,4.995,0.00500,4.20220,QNT/EUR,EUR,-20.99
QNT,2020-04-02 14:42:57.163 ,Order 7de22635676428b0,3.20679,0.00321,4.25483,QNT/EUR,EUR,-13.64
QNT,2020-04-02 14:11:22.395 ,Order ebfbf544644f1ebf,0.02,0.00,4.20000,QNT/EUR,EUR,-0.08
QNT,2020-04-02 14:10:51.506 ,Order ebfbf544644f1ebf,20.95902,0.0210,4.19113,QNT/EUR,EUR,-87.84
QNT,2020-04-02 13:54:49.928 ,Order 5f03cd90eca9dc1d,5.74425,0.00575,4.17757,QNT/EUR,EUR,-24.00
QNT,2020-04-02 13:50:27.125 ,Order 1961a0918ef8fce9,3.8961,0.00390,4.17821,QNT/EUR,EUR,-16.28
QNT,2020-04-02 13:29:04.084 ,Order 9b6d77d277dcb95f,1.1917071000000001,0.00119,4.19147,QNT/EUR,EUR,-5.00
QNT,2020-04-02 13:28:38.024 ,Order c996b911fef2ea73,14.308677000000001,0.0143,4.19626,QNT/EUR,EUR,-60.04
QNT,2020-04-02 13:12:50.806 ,Order 9626550058d40e22,20.979,0.0210,4.17290,QNT/EUR,EUR,-87.54
QNT,2020-04-02 08:33:19.264 ,Order 5a53f18c8bf85911,1.8896085,0.00189,4.23473,QNT/EUR,EUR,-8.00
QNT,2020-04-01 23:39:56.447 ,Order c571edf6b86d32c0,3.611,0.00,4.22985,QNT/EUR,EUR,-15.27
QNT,2020-04-01 23:39:56.430 ,Order 5def1443f5256e56,8.8487,0.00,4.23000,QNT/EUR,EUR,-37.43
QNT,2020-04-01 23:38:59.200 ,Order 37d067ba2b4207de,16.983,0.0170,4.24571,QNT/EUR,EUR,-72.10
QNT,2020-04-01 23:36:44.995 ,Order 57bf914e0a51b68c,1.998,0.00200,4.24050,QNT/EUR,EUR,-8.47
QNT,2020-04-01 23:36:29.647 ,Order c571edf6b86d32c0,51.337611,0.0514,4.22991,QNT/EUR,EUR,-217.15
QNT,2020-04-01 23:00:49.977 ,Order ae59ddc9404e3642,2.0979,0.00210,4.12048,QNT/EUR,EUR,-8.64
QNT,2020-04-01 23:00:10.411 ,Order 05922827161d800e,21.920058,0.0219,4.11006,QNT/EUR,EUR,-90.09
QNT,2020-04-01 21:28:26.604 ,Order 1eaa3e01802f2138,1.9419560999999999,0.00194,3.97654,QNT/EUR,EUR,-7.72
QNT,2020-04-01 20:18:47.453 ,Order 6776e72c8370114c,1.3970016,0.00140,3.84010,QNT/EUR,EUR,-5.36
QNT,2020-04-01 16:30:36.312 ,Order 0865df960162744a,0.078921,0.0000790,4.01266,QNT/EUR,EUR,-0.32
QNT,2020-04-01 16:30:36.296 ,Order 0865df960162744a,2.384613,0.00239,4.00209,QNT/EUR,EUR,-9.54
QNT,2020-04-01 16:28:51.758 ,Order 6aa9c99d270586e2,19.801179,0.0198,4.01226,QNT/EUR,EUR,-79.45
QNT,2020-04-01 16:28:51.741 ,Order 6aa9c99d270586e2,20.592387,0.0206,4.00228,QNT/EUR,EUR,-82.42
QNT,2020-04-01 16:10:09.745 ,Order 3b9259568d14d9f3,8.358633000000001,0.00837,4.08390,QNT/EUR,EUR,-34.14
QNT,2020-04-01 16:07:02.834 ,Order 433683c80b1871a5,1.4591394,0.00146,4.10790,QNT/EUR,EUR,-5.99
QNT,2020-04-01 16:04:37.668 ,Order 6f3043d96c200fb7,4.7541411,0.00476,4.09653,QNT/EUR,EUR,-19.48
QNT,2020-04-01 16:04:37.652 ,Order 6f3043d96c200fb7,19.634346,0.0197,4.09102,QNT/EUR,EUR,-80.32
QNT,2020-04-01 16:03:14.058 ,Order 0b0dc85528d04954,21.300677999999998,0.0213,4.08639,QNT/EUR,EUR,-87.04
QNT,2020-04-01 16:01:09.484 ,Order 65436ea9fbe9442f,3.4105860000000003,0.00341,4.17692,QNT/EUR,EUR,-14.25
QNT,2020-04-01 15:57:45.637 ,Order e362beca1e6556f4,4.995,0.00500,4.26980,QNT/EUR,EUR,-21.33
QNT,2020-04-01 15:45:45.365 ,Order 6a6cffdcc452c3ac,0.2843154,0.000285,4.04076,QNT/EUR,EUR,-1.15
QNT,2020-04-01 15:45:45.347 ,Order 6a6cffdcc452c3ac,21.490488,0.0215,4.03031,QNT/EUR,EUR,-86.61
QNT,2020-04-01 15:36:49.307 ,Order a28d9eeee42d8daa,4.0030929,0.00401,3.92304,QNT/EUR,EUR,-15.70
QNT,2020-04-01 15:35:06.214 ,Order d1cf624a50329294,9.99,0.0100,3.92300,QNT/EUR,EUR,-39.19
QNT,2020-04-01 15:32:00.160 ,Order 4340d11c6de00e03,4.1686271999999995,0.00417,3.92303,QNT/EUR,EUR,-16.35
QNT,2020-04-01 15:30:47.210 ,Order 0acd73f5ffeabcce,4.995,0.00500,3.92300,QNT/EUR,EUR,-19.60
QNT,2020-04-01 14:46:54.829 ,Order d66c5e7d50f4e0f4,13.986,0.0140,3.92300,QNT/EUR,EUR,-54.87
QNT,2020-04-01 14:42:04.822 ,Order 5d5fbf435a08d91a,1.9896084,0.00199,3.92298,QNT/EUR,EUR,-7.81
QNT,2020-04-01 14:42:04.778 ,Order 5d5fbf435a08d91a,20.568410999999998,0.0206,3.91894,QNT/EUR,EUR,-80.61
QNT,2020-04-01 14:28:42.616 ,Order ad7e6e85f6bfbd48,3.6532430999999996,0.00366,3.87213,QNT/EUR,EUR,-14.15
QNT,2020-04-01 14:17:13.968 ,Order a45247d57eac756f,9.99,0.0100,3.86110,QNT/EUR,EUR,-38.57
QNT,2020-04-01 14:14:12.592 ,Order 0d7ddbb5e55cc501,39.96,0.0400,3.90120,QNT/EUR,EUR,-155.89
QNT,2020-04-01 14:02:49.455 ,Order c2c28f4958f16bce,13.7690172,0.0138,3.88020,QNT/EUR,EUR,-53.43
