,Credits,Debits,Transaction Type,Reference Type,Product,Balance,Time Stamp
,,20.02557111388,Fee,Trade,ADA,9992.84827638796,2020/04/27 16:11:49.028
,,649.999999999874,Trade,Trade,CAD,336.05468197644000,2020/04/27 16:11:49.028
,10012.78555694,,Trade,Trade,ADA,10012.87384750180,2020/04/27 16:11:49.028
,985,,Other,Deposit,CAD,986.0546819763140,2020/04/27 10:00:55.346
,,0.00003,Fee,Withdraw,XLM,9.26e-09,2020/04/25 09:43:32.377
,,4575.50789883,Other,Withdraw,XLM,0.00003000926,2020/04/25 09:43:32.377
,,2.1093545668,Fee,Trade,XLM,4575.50792883926,2020/04/25 00:01:18.406
,,0.00891202304473,Trade,Trade,BTC,0.0003178108214035840,2020/04/25 00:01:18.405
,1054.6772834,,Trade,Trade,XLM,4577.61728340606,2020/04/25 00:01:18.405
,,0.624,Fee,Trade,XLM,3522.94000000606,2020/04/25 00:01:18.403
,,0.00263328,Trade,Trade,BTC,0.009229833866133580,2020/04/25 00:01:18.403
,312,,Trade,Trade,XLM,3523.56400000606,2020/04/25 00:01:18.403
,,0.452,Fee,Trade,XLM,3211.56400000606,2020/04/25 00:01:18.402
,,0.00190744,Trade,Trade,BTC,0.011863113866133600,2020/04/25 00:01:18.401
,226,,Trade,Trade,XLM,3212.01600000606,2020/04/25 00:01:18.401
,,1.258,Fee,Trade,XLM,2986.01600000606,2020/04/25 00:01:18.397
,,0.00530247,Trade,Trade,BTC,0.013770553866133600,2020/04/25 00:01:18.396
,629,,Trade,Trade,XLM,2987.27400000606,2020/04/25 00:01:18.396
,,4.726,Fee,Trade,XLM,2358.27400000606,2020/04/25 00:01:18.393
,,0.01989646,Trade,Trade,BTC,0.019073023866133600,2020/04/25 00:01:18.393
,2363,,Trade,Trade,XLM,2363.00000000606,2020/04/25 00:01:18.392
,,0.0000778395057245162,Fee,Trade,BTC,0.03896948386613360,2020/04/24 23:56:16.473
,,110.31363301,Trade,Trade,EOS,0.00226699904,2020/04/24 23:56:16.472
,0.0389197528622581,,Trade,Trade,BTC,0.0390473233718581,2020/04/24 23:56:16.472
,,2.556504e-07,Fee,Trade,BTC,0.0001275705096,2020/04/24 23:56:16.466
,,0.36,Trade,Trade,EOS,110.31590000904,2020/04/24 23:56:16.466
,0.0001278252,,Trade,Trade,BTC,0.00012782616,2020/04/24 23:56:16.466
,110.6759,,Other,Deposit,EOS,110.67590000904,2020/04/24 23:43:14.531
,,0.0005,Fee,Withdraw,BTC,9.6e-10,2020/04/24 00:10:15.429
,,0.15867269,Other,Withdraw,BTC,0.00050000096,2020/04/24 00:10:15.428
,,0.00031398334,Fee,Trade,BTC,0.15917269096,2020/04/23 23:41:56.139
,,1701.09674156862,Trade,Trade,CAD,1.0546819763138000,2020/04/23 23:41:56.139
,0.15699167,,Trade,Trade,BTC,0.1594866743,2020/04/23 23:41:56.139
,,0.000005,Fee,Trade,BTC,0.0024950043,2020/04/23 23:41:56.138
,,26.929305,Trade,Trade,CAD,1702.1514235449300,2020/04/23 23:41:56.136
,0.0025,,Trade,Trade,BTC,0.0025000043,2020/04/23 23:41:56.136
,,2.23350153269736,Fee,Trade,CAD,1729.080728544930,2020/04/23 23:22:17.812
,,298.972,Trade,Trade,EOS,9.04e-09,2020/04/23 23:22:17.812
,1116.75076634868,,Trade,Trade,CAD,1731.3142300776300,2020/04/23 23:22:17.811
,,0.0077283555568,Fee,Trade,CAD,614.5634637289510,2020/04/23 23:22:17.809
,,1.028,Trade,Trade,EOS,298.97200000904,2020/04/23 23:22:17.809
,3.8641777784,,Trade,Trade,CAD,614.571192084508,2020/04/23 23:22:17.809
,300,,Other,Deposit,EOS,300.00000000904,2020/04/23 23:19:46.746
,610.7,,Other,Deposit,CAD,610.7070143061080,2020/04/23 11:18:39.154
,,0.0005,Fee,Withdraw,EOS,9.04e-09,2020/04/15 17:14:27.871
,,446.44621861,Other,Withdraw,EOS,0.00050000904,2020/04/15 17:14:27.871
,,0.0005,Fee,Withdraw,BTC,4.3e-09,2020/04/14 17:33:28.537
,,0.08548576,Other,Withdraw,BTC,0.0005000043,2020/04/14 17:33:28.537
,,0.00003,Fee,Withdraw,XLM,6.06e-09,2020/04/14 17:15:50.933
,,1415.80363008,Other,Withdraw,XLM,0.00003000606,2020/04/14 17:15:50.933
,,0.0001723157,Fee,Trade,BTC,0.0859857643,2020/04/06 12:23:57.513
,,889.08992494647,Trade,Trade,CAD,0.007014306107957210,2020/04/06 12:23:57.510
,0.08615785,,Trade,Trade,BTC,0.08615808,2020/04/06 12:23:57.510
,,0.11544288394,Fee,Trade,XLM,1415.80366008606,2020/04/06 09:06:28.215
,,4.07848164671626,Trade,Trade,CAD,889.096939252578,2020/04/06 09:06:28.215
,57.72144197,,Trade,Trade,XLM,1415.91910297,2020/04/06 09:06:28.215
,,0.9118584,Fee,Trade,XLM,1358.197661,2020/04/06 09:06:28.213
,,32.1411848832,Trade,Trade,CAD,893.1754208992940,2020/04/06 09:06:28.213
,455.9292,,Trade,Trade,XLM,1359.1095194,2020/04/06 09:06:28.213
,,0.684484,Fee,Trade,XLM,903.1803194,2020/04/06 09:06:28.211
,,24.124296338,Trade,Trade,CAD,925.3166057824940,2020/04/06 09:06:28.211
,342.242,,Trade,Trade,XLM,903.8648034,2020/04/06 09:06:28.211
,,0.4410126,Fee,Trade,XLM,561.6228034,2020/04/06 09:06:28.208
,,15.5426070618,Trade,Trade,CAD,949.4409021204940,2020/04/06 09:06:28.208
,220.5063,,Trade,Trade,XLM,562.063816,2020/04/06 09:06:28.208
,,0.684484,Fee,Trade,XLM,341.557516,2020/04/06 09:06:28.199
,,24.12292737,Trade,Trade,CAD,964.9835091822940,2020/04/06 09:06:28.198
,342.242,,Trade,Trade,XLM,342.242,2020/04/06 09:06:28.198
,985,,Other,Deposit,CAD,989.1064365522940,2020/04/04 12:02:20.913
,,0.88480280284,Fee,Trade,EOS,446.44671861904,2020/03/28 07:40:12.198
,,1374.2765981738900,Trade,Trade,CAD,4.106436552294220,2020/03/28 07:40:12.198
,442.40140142,,Trade,Trade,EOS,447.33152142188,2020/03/28 07:40:12.198
,,0.00988,Fee,Trade,EOS,4.93012000188,2020/03/28 07:40:12.198
,,15.239367468,Trade,Trade,CAD,1378.383034726190,2020/03/28 07:40:12.198
,4.94,,Trade,Trade,EOS,4.94000000188,2020/03/28 07:40:12.198
,,0.66470349,Fee,Trade,CAD,1393.622402194190,2020/03/27 20:31:20.201
,,0.03820135,Trade,Trade,BTC,2.3e-07,2020/03/27 20:31:20.201
,332.351745,,Trade,Trade,CAD,1394.287105684190,2020/03/27 20:31:20.201
,,0.13375995094,Fee,Trade,CAD,1061.935360684190,2020/03/27 20:31:20.186
,,0.00768647,Trade,Trade,BTC,0.03820158,2020/03/27 20:31:20.186
,66.87997547,,Trade,Trade,CAD,1062.069120635130,2020/03/27 20:31:20.186
,,1.880652147539590,Fee,Trade,CAD,995.1891451651250,2020/03/26 16:20:06.706
,,0.10151491,Trade,Trade,BTC,0.04588805,2020/03/26 16:20:06.706
,940.326073769796,,Trade,Trade,CAD,997.0697973126650,2020/03/26 16:20:06.706
,,0.11370841884,Fee,Trade,CAD,56.74372354286870,2020/03/26 16:20:06.690
,,0.0061,Trade,Trade,BTC,0.14740296,2020/03/26 16:20:06.690
,56.85420942,,Trade,Trade,CAD,56.85743196170870,2020/03/26 16:20:06.690
,0.15249984,,Other,Deposit,BTC,0.15350296,2020/03/26 11:45:56.575
,,0.00000201026,Fee,Trade,BTC,0.00100312,2020/03/25 10:15:26.339
,,9.705757011678,Trade,Trade,CAD,0.003222541708649210,2020/03/25 10:15:26.339
,0.00100513,,Trade,Trade,BTC,0.00100513026,2020/03/25 10:15:26.339
,,0.0005,Fee,Withdraw,BTC,2.6e-10,2020/03/24 10:34:09.133
,,0.15249984,Other,Withdraw,BTC,0.00050000026,2020/03/24 10:34:09.133
,,0.00019643074,Fee,Trade,BTC,0.15299984026,2020/03/23 21:10:11.208
,,960.753042310776,Trade,Trade,CAD,9.70897955338665,2020/03/23 21:10:11.192
,0.09821537,,Trade,Trade,BTC,0.153196271,2020/03/23 21:10:11.192
,,0.0000046,Fee,Trade,BTC,0.054980901,2020/03/23 21:10:11.192
,,22.35553632,Trade,Trade,CAD,970.4620218641630,2020/03/23 21:10:11.192
,0.0023,,Trade,Trade,BTC,0.054985501,2020/03/23 21:10:11.192
,,0.000002,Fee,Trade,BTC,0.052685501,2020/03/23 21:10:11.192
,,9.65371,Trade,Trade,CAD,992.8175581841630,2020/03/23 21:10:11.192
,0.001,,Trade,Trade,BTC,0.052687501,2020/03/23 21:10:11.192
,0.16,,Other,Deposit,BTC,0.051687501,2020/03/23 19:44:22.883
,,0.0005,Fee,Withdraw,BTC,2.757687501,2020/03/23 19:14:30.015
,,0.16,Other,Withdraw,BTC,2.758187501,2020/03/23 19:14:30.015
,,0.00010458416,Fee,Trade,BTC,0.052187501,2020/03/23 17:49:13.456
,,499.999968159744,Trade,Trade,CAD,1002.4712681841600,2020/03/23 17:49:13.456
,0.05229208,,Trade,Trade,BTC,0.05229208516,2020/03/23 17:49:13.456
,,0.3241225686844090,Fee,Trade,CAD,1502.4712363439100,2020/03/23 12:49:59.108
,,721.085535,Trade,Trade,XRP,2.298e-08,2020/03/23 12:49:59.108
,162.06128434220400,,Trade,Trade,CAD,1502.7953589125900,2020/03/23 12:49:59.108
,,0.0642691533406,Fee,Trade,CAD,1340.7340745703900,2020/03/23 12:49:59.107
,,142.039,Trade,Trade,XRP,721.08553502298,2020/03/23 12:49:59.107
,32.1345766703,,Trade,Trade,CAD,1340.7983437237300,2020/03/23 12:49:59.107
,,1.06531508702,Fee,Trade,XRP,863.12453502298,2020/03/23 12:33:09.019
,,123.96817590003500,Trade,Trade,CAD,1308.6637670534300,2020/03/23 12:33:09.019
,532.65754351,,Trade,Trade,XRP,864.18985011,2020/03/23 12:33:09.018
,,0.6643934,Fee,Trade,XRP,331.5323066,2020/03/23 12:33:09.017
,,76.821430313628,Trade,Trade,CAD,1432.6319429534600,2020/03/23 12:33:09.016
,332.1967,,Trade,Trade,XRP,332.1967,2020/03/23 12:33:09.016
,,0.837752129376084,Fee,Trade,CAD,1509.45337326709,2020/03/22 13:05:21.641
,,1.44591135,Trade,Trade,BCH,1.38e-09,2020/03/22 13:05:21.640
,418.876064688042,,Trade,Trade,CAD,1510.2911253964700,2020/03/22 13:05:21.640
,,0.0204181866,Fee,Trade,CAD,1091.415060708420,2020/03/22 13:05:21.639
,,0.035,Trade,Trade,BCH,1.44591135138,2020/03/22 13:05:21.639
,10.2090933,,Trade,Trade,CAD,1091.435478895020,2020/03/22 13:05:21.639
,,0.5200994364450260,Fee,Trade,CAD,1081.226385595020,2020/03/22 13:04:02.395
,,1.47299329,Trade,Trade,ETH,2.8476518e-09,2020/03/22 13:04:02.395
